id,area,feature,roles,user_entry,backend,origin,feature_flag,existing_tests,verify_by,side_effects,phase,data_risk,status_signals,confidence,capability_ledger_id,rails_routes,ember_routes
BRD-31,Boards & content,NFC tags linked to buttons,communicator; supervisor-SLP,program-nfc components/program-nfc.js:51 (opened from controllers/word-data.js:119); scan lookup services/persistence.js:2492,api/tags#index tags_controller.rb:4 ('model' :9); #create :16 ('supervise' :17); #show :29; #update :48 / #destroy :61 ('supervise' on tag owner),upstream sweet-suite (vs sweet-suite mirror 55aaa8a: tags_controller.rb churn 12%; nfc_tag.rb churn 0%; program-nfc.js churn 118% (frontend) (moved from app/frontend/app/controllers/modals/program-nfc.js); persistence.js churn 78% (frontend) (moved from app/frontend/app/utils/persistence.js); 6/6 routes are upstream actions),none,spec/controllers/api/tags_controller_spec.rb; spec/models/nfc_tag_spec.rb,human: needs an NFC-capable device and tags,destructive,3,no,,"AGENT-REPORTED: static read by an inventory agent; citations bounds-checked, content not re-read by the author",,GET /api/v1/tags api/tags#index | POST /api/v1/tags api/tags#create | GET /api/v1/tags/:id api/tags#show | PATCH /api/v1/tags/:id api/tags#update | PUT /api/v1/tags/:id api/tags#update | DELETE /api/v1/tags/:id api/tags#destroy,
BRD-32,Boards & content,Word data / inflections review tool (admin),anonymous; system,inflections app/frontend/app/routes/inflections.js:5-13; admin gate controllers/inflections.js:16-21; load :39; save :288,api/words#index words_controller.rb:4 (admin_support_actions :5); #update :73 (admin_support_actions :75),heavily modified (vs sweet-suite mirror 55aaa8a: words_controller.rb churn 59%; word_data.rb churn 26%; inflections.js churn 15% (frontend); inflections.hbs churn 81% (frontend); inflections.js churn 6% (frontend); 3/3 routes are upstream actions),none,spec/models/word_data_spec.rb,agent: admin-only access and update via API,writes,8,no,,"AGENT-REPORTED: static read by an inventory agent; citations bounds-checked, content not re-read by the author",,GET /api/v1/words api/words#index | PATCH /api/v1/words/:id api/words#update | PUT /api/v1/words/:id api/words#update,inflections:/inflections | inflections:/inflections/:ref/:locale
BRD-33,Boards & content,Language rules for inflections/contractions,anonymous; communicator; supervisor-SLP,none (fetched by app/frontend/app/utils/i18n.js:933),api/words#lang words_controller.rb:15,heavily modified (vs sweet-suite mirror 55aaa8a: words_controller.rb churn 59%; i18n.js churn 31% (frontend); 1/1 routes are upstream actions),none,spec/controllers/api/words_controller_spec.rb,agent: GET per locale,none (read-only),3,no,,"AGENT-REPORTED: static read by an inventory agent; citations bounds-checked, content not re-read by the author",,GET /api/v1/lang/:locale api/words#lang,
BRD-34,Boards & content,Reachable core words for an utterance reply,anonymous; communicator; supervisor-SLP,utterance page controllers/utterance.js:26-29; templates/utterance.hbs:81,"api/words#reachable_core words_controller.rb:34 (utterance reply code or allowed?(user,'supervise') :37-47)",heavily modified (vs sweet-suite mirror 55aaa8a: words_controller.rb churn 59%; word_data.rb churn 26%; utterance.js churn 41% (frontend); 1/1 routes are upstream actions),preference utterance_core_access (words_controller.rb:37),spec/controllers/api/words_controller_spec.rb,agent: GET with and without a reply code,none (read-only),4,yes: communicator usage logs or utterances,,"AGENT-REPORTED: static read by an inventory agent; citations bounds-checked, content not re-read by the author",,GET /api/v1/words/reachable_core api/words#reachable_core,
BRD-35,Boards & content,"Word part-of-speech lookup (word data modal, auto button colors)",communicator; supervisor-SLP,components/word-data.js:74,api/search#parts_of_speech search_controller.rb:138 (auth required :3),heavily modified (vs sweet-suite mirror 55aaa8a: search_controller.rb churn 91%; word_data.rb churn 26%; word-data.js churn 128% (frontend) (moved from app/frontend/app/controllers/word-data.js); 1/1 routes are upstream actions),none,spec/controllers/api/search_controller_spec.rb,agent: GET a known word,none (read-only),2,no,TODO or FIXME in code,"AGENT-REPORTED: static read by an inventory agent; citations bounds-checked, content not re-read by the author",,GET /api/v1/search/parts_of_speech api/search#parts_of_speech,
BRD-36,Boards & content,"External resources and image proxy (button suggestions, books, cached button-set fetch)",communicator; supervisor-SLP,"components/button-suggestions.js:306,334,376; components/button-settings.js:485","api/search#external_resources search_controller.rb:97 (edit on ref user :102; Uploader.find_resources lib/uploader.rb:1065); #proxy :161 (SafeHttp, traversal check :178, button-set self-heal :259-265)",heavily modified (vs sweet-suite mirror 55aaa8a: search_controller.rb churn 91%; uploader.rb churn 116%; button-suggestions.js churn 95% (frontend) (moved from app/frontend/app/controllers/button-suggestions.js); safe_http.rb absent; 2/2 routes are upstream actions),"tarheel_reader (code: AVAILABLE only, off) read at lib/uploader.rb:1066",spec/controllers/api/search_controller_spec.rb; spec/lib/safe_http_spec.rb,agent: proxy allow/deny cases via API,external-send,2,no,TODO or FIXME in code,"AGENT-REPORTED: static read by an inventory agent; citations bounds-checked, content not re-read by the author",,GET /api/v1/search/external_resources api/search#external_resources | GET /api/v1/search/proxy api/search#proxy,
BRD-37,Boards & content,App search for app-launch buttons,communicator; supervisor-SLP,services/content-grabbers.js:3136,api/search#apps search_controller.rb:328 (AppSearcher),heavily modified (vs sweet-suite mirror 55aaa8a: search_controller.rb churn 91%; app_searcher.rb churn 0%; content-grabbers.js churn 51% (frontend) (moved from app/frontend/app/utils/content_grabbers.js); 1/1 routes are upstream actions),none,spec/controllers/api/search_controller_spec.rb; spec/lib/app_searcher_spec.rb,human: launching apps needs a device,none (read-only),2,no,,"AGENT-REPORTED: static read by an inventory agent; citations bounds-checked, content not re-read by the author",,GET /api/v1/search/apps api/search#apps,
BRD-38,Boards & content,Remote TTS audio proxy (Google cloud voices),anonymous; communicator; supervisor-SLP,remote voices utils/speecher.js:858 -> window.cloud_speak in app/frontend/vendor/speech/speech.js:41,api/search#audio search_controller.rb:334,heavily modified (vs sweet-suite mirror 55aaa8a: search_controller.rb churn 91%; speecher.js churn 29% (frontend); speech.js churn 6% (frontend); 1/1 routes are upstream actions),env GOOGLE_TTS_TOKEN (search_controller.rb:356),spec/controllers/api/search_controller_spec.rb,human: audio output,external-send,1,yes: communicator usage logs or utterances,,"AGENT-REPORTED: static read by an inventory agent; citations bounds-checked, content not re-read by the author",,GET /api/v1/search/audio api/search#audio,
BRD-39,Boards & content,Focus words search (proxy to workshop.openaac.org),anonymous; communicator; supervisor-SLP,"components/focus-words.js:146,173",api/search#focuses search_controller.rb:109,heavily modified (vs sweet-suite mirror 55aaa8a: search_controller.rb churn 91%; focus-words.js churn 206% (frontend) (moved from app/frontend/app/controllers/modals/focus-words.js); 1/1 routes are upstream actions),none,spec/controllers/api/search_controller_spec.rb; app/frontend/tests/components/focus-words-article50-test.js,agent: GET with mock,external-send,4,no,,"AGENT-REPORTED: static read by an inventory agent; citations bounds-checked, content not re-read by the author",,GET /api/v1/search/focus api/search#focuses,
SPK-01,"Speak mode, access & device",Enter Speak Mode (dashboard Continue Speaking / board-detail auto-speak / legacy header button / which-home picker),communicator; supervisor-SLP,"Dashboard 'Speak Mode' / 'Let's Communicate' card app/frontend/app/components/dashboard/authenticated-view.hbs:346,351,377 -> go('speak') authenticated-view.js:1376-1392; legacy board header app/frontend/app/templates/application.hbs:408; which-home modal components/which-home.hbs:9-18",none (client-only); board-detail route sets current_mode=speak at app/frontend/app/routes/user/board-detail.js:609-612; board fetch is boards API,heavily modified (vs sweet-suite mirror 55aaa8a: app-state.js churn 103% (frontend) (moved from app/frontend/app/utils/app_state.js); application.js churn 104% (frontend); application.hbs churn 179% (frontend); which-home.js churn 570% (frontend) (moved from app/frontend/app/controllers/which-home.js); authenticated-view.js absent; authenticated-view.hbs absent; board-detail.js absent),none,app/frontend/tests/utils/app_state-test.js; app/frontend/tests/controllers/which-home-test.js,human: needs a real board session and visual confirmation of speak-mode chrome,none (read-only),1,yes: communicator usage logs or utterances; location,TODO or FIXME in code,"AGENT-REPORTED: static read by an inventory agent; citations bounds-checked, content not re-read by the author",,,
SPK-02,"Speak mode, access & device","Exit Speak Mode with optional Speak Mode PIN (require_speak_mode_pin, hide_pin_hint)",communicator; supervisor-SLP,board-detail options menu 'Exit to Home' app/frontend/app/templates/user/board-detail.hbs:1425 -> exit_to_home controllers/user/board-detail.js:7505; speak menu Exit components/speak-menu.js:940; PIN prefs templates/user/preferences.hbs:49-90,none (client-only); PIN stored in user preferences via users#update app/controllers/api/users_controller.rb:197,heavily modified (vs sweet-suite mirror 55aaa8a: app-state.js churn 103% (frontend) (moved from app/frontend/app/utils/app_state.js); speak-mode-pin.js churn 244% (frontend) (moved from app/frontend/app/controllers/speak-mode-pin.js); speak-menu.js churn 412% (frontend) (moved from app/frontend/app/controllers/speak-menu.js); preferences.hbs churn 62% (frontend); board-detail.js absent),none,app/frontend/tests/controllers/speak-mode-pin-test.js; app/frontend/tests/utils/app_state-test.js,human: PIN entry and lock behaviour on a device,writes,1,no,,"AGENT-REPORTED: static read by an inventory agent; citations bounds-checked, content not re-read by the author",,,
SPK-03,"Speak mode, access & device","Sentence bar / utterance box: build by tapping, speak, backspace, clear",communicator; supervisor-SLP,"board-detail sentence bar app/frontend/app/templates/user/board-detail.hbs:747 (tap text to speak), :866 speak, :877 backspace, :884 clear; legacy speak bar templates/application.hbs:125","none (client-only); utterance.add_button/clear/backspace/vocalize_list app/frontend/app/utils/utterance.js:573,894,926,1225",heavily modified (vs sweet-suite mirror 55aaa8a: utterance.js churn 40% (frontend); app-state.js churn 103% (frontend) (moved from app/frontend/app/utils/app_state.js); application.js churn 104% (frontend); board-detail.js absent; board-detail.hbs absent),none,app/frontend/tests/utils/utterance-test.js; app/frontend/tests/integration/speak-bar-anchor-test.js,human: audio output and touch on device,destructive,1,yes: communicator usage logs or utterances; board content,,"AGENT-REPORTED: static read by an inventory agent; citations bounds-checked, content not re-read by the author",,,
SPK-04,"Speak mode, access & device","Speak-bar chip editing (remove, reorder, swap a word in the sentence)",communicator; supervisor-SLP,"press-and-hold a chip in board-detail sentence bar app/frontend/app/templates/user/board-detail.hbs:760-766,820","none (client-only); utterance.remove_button/swap_buttons/replace_button app/frontend/app/utils/utterance.js:1027,1079,1099",heavily modified (vs sweet-suite mirror 55aaa8a: utterance.js churn 40% (frontend); sentence-bar-chip.js absent; board-detail.js absent),"sentence_bar_editing (code: ENABLED_FRONTEND_FEATURES, marked TEMPORARY lib/feature_flags.rb:135); read controllers/user/board-detail.js:1634-1635",NONE,human: touch press-and-hold interaction,destructive,3,no,TEMPORARY forced-on flag,"AGENT-REPORTED: static read by an inventory agent; citations bounds-checked, content not re-read by the author",,,
SPK-05,"Speak mode, access & device","Speak menu (new_speak_menu): punctuation, repeat / louder / quieter, big-text display, flip text, held thoughts, saved phrases, inbox, repairs",communicator; supervisor-SLP,board-detail 'Speak options' button app/frontend/app/templates/user/board-detail.hbs:892 -> open_speak_menu controllers/user/board-detail.js:9031,none (client-only); saved phrases persist on user via app_state.save_phrase,heavily modified (vs sweet-suite mirror 55aaa8a: speak-menu.js churn 412% (frontend) (moved from app/frontend/app/controllers/speak-menu.js); speak-menu.hbs churn 419% (frontend) (moved from app/frontend/app/templates/speak-menu.hbs); app-state.js churn 103% (frontend) (moved from app/frontend/app/utils/app_state.js); board-detail.js absent),"new_speak_menu (code: ENABLED_FRONTEND_FEATURES lib/feature_flags.rb:122); read components/speak-menu.hbs:49,556 and templates/user/edit.hbs:176",app/frontend/tests/controllers/speak-menu-test.js; app/frontend/tests/unit/components/speak-menu-held-thoughts-test.js; app/frontend/tests/unit/components/speak-menu-parked-order-test.js,human: audio (say louder) and visual big-text display,writes,3,no,,"AGENT-REPORTED: static read by an inventory agent; citations bounds-checked, content not re-read by the author",,,
SPK-06,"Speak mode, access & device","Text-to-speech: browser/native voice selection, rate, pitch, volume, test voice, secondary voice, audio output target",communicator; supervisor-SLP,"Preferences > Voice Settings app/frontend/app/templates/user/preferences.hbs:1918-2140 (voice :1957, rate :1984, pitch :1994, volume :2004, output :2019, secondary voice :2030); test_voice controllers/user/preferences.js:1371",none (client-only); speechSynthesis in app/frontend/app/utils/speecher.js:624-700; prefs saved per device via users#update app/controllers/api/users_controller.rb:197,heavily modified (vs sweet-suite mirror 55aaa8a: speecher.js churn 29% (frontend); utterance.js churn 40% (frontend); preferences.js churn 51% (frontend); preferences.hbs churn 62% (frontend); voice-output.js absent),none,app/frontend/tests/utils/speecher-test.js; app/frontend/tests/utils/speech-test.js; app/frontend/tests/controllers/user/preferences-test.js,human: audio quality/voice judgment across browsers and devices,writes,1,no,,"AGENT-REPORTED: static read by an inventory agent; citations bounds-checked, content not re-read by the author",,,
SPK-07,"Speak mode, access & device","Premium voices: browse, download/claim, delete (native app only)",communicator; supervisor-SLP,"Preferences 'Premium Voices' button app/frontend/app/templates/user/preferences.hbs:1923,1963,1979 -> controllers/user/preferences.js:1367 opens premium-voices modal; also app/frontend/app/components/premium-voices.js:64, app/frontend/app/utils/tts_voices.js:73","api/users#claim_voice app/controllers/api/users_controller.rb:378; User#add_premium_voice app/models/user.rb:327; limits User.default_premium_voices app/models/user.rb:187 (full 2, eval 1, trial 1, none 0); client call app/frontend/app/utils/tts_voices.js:73; also app/models/user.rb:187-210",heavily modified (vs sweet-suite mirror 55aaa8a: users_controller.rb churn 76%; user.rb churn 156%; user.rb churn 41%; premium-voices.js churn 109% (frontend) (moved from app/frontend/app/controllers/premium-voices.js); tts_voices.js churn 2% (frontend); 1/1 routes are upstream actions),"premium: currentUser.currently_premium && premium_voices.allowed > 0, or premium_voices.always_allowed (components/premium-voices.js:62-65); requires capabilities.installed_app; also modeling",spec/controllers/api/users_controller_spec.rb; spec/models/user_spec.rb,human: needs installed iOS/Android app and a paid account; agent can spec claim_voice limits,destructive,1,no,needs device or native app,"AGENT-REPORTED: static read by an inventory agent; citations bounds-checked, content not re-read by the author",,POST /api/v1/users/:user_id/claim_voice api/users#claim_voice,
SPK-08,"Speak mode, access & device","Touch/click activation settings (select on press/release, location, cutoff, minimum press, debounce, selection highlights, auto-home on select)",communicator; supervisor-SLP,Preferences > Selection Settings app/frontend/app/templates/user/preferences.hbs:417-578,none (client-only); applied to buttonTracker at app/frontend/app/services/app-state.js:2830-2847; auto-home possible_auto_home :4907,upstream sweet-suite (vs sweet-suite mirror 55aaa8a: raw_events.js churn 49% (frontend); app-state.js churn 103% (frontend) (moved from app/frontend/app/utils/app_state.js); preferences.hbs churn 62% (frontend)),none,app/frontend/tests/unit/utils/raw-events-test.js,human: touch timing on a device,destructive,3,no,TODO or FIXME in code,"AGENT-REPORTED: static read by an inventory agent; citations bounds-checked, content not re-read by the author",,,
SPK-09,"Speak mode, access & device","Switch scanning (row, column, button, region, axis; auto-scan interval, keycodes, pseudo-switch, audio prompt, scan modeling)",communicator; supervisor-SLP,Preferences > 'more options' > Scanning Settings app/frontend/app/templates/user/preferences.hbs:1455-1677 (modes list controllers/user/preferences.js:520-526),none (client-only); started by check_scanning app/frontend/app/services/app-state.js:2027-2068 in speak mode; engine utils/scanner.js:176,upstream sweet-suite (vs sweet-suite mirror 55aaa8a: scanner.js churn 58% (frontend); app-state.js churn 103% (frontend) (moved from app/frontend/app/utils/app_state.js); preferences.js churn 51% (frontend); preferences.hbs churn 62% (frontend)),none,app/frontend/tests/utils/scanner-test.js; app/frontend/tests/utils/scanner-board-rearm-test.js; app/frontend/tests/utils/scanner-idless-dispatch-test.js,human: physical switch / keyboard switch hardware,writes,3,no,,"AGENT-REPORTED: static read by an inventory agent; citations bounds-checked, content not re-read by the author",,,
SPK-10,"Speak mode, access & device","Dwell / eye-gaze selection (webcam weblinger, native eye gaze, cursor or joystick dwell; dwell time, delay, cursor, gravity, calibrate)",communicator; supervisor-SLP,Preferences > 'more options' > Dwell/Eye Tracking app/frontend/app/templates/user/preferences.hbs:1678-1913; calibrate controllers/user/preferences.js:1392,none (client-only); activated at app/frontend/app/services/app-state.js:2084-2104; capabilities.eye_gaze app/frontend/app/utils/capabilities.js:472; dwell_linger utils/raw_events.js:2288,upstream sweet-suite (vs sweet-suite mirror 55aaa8a: raw_events.js churn 49% (frontend); capabilities.js churn 23% (frontend); app-state.js churn 103% (frontend) (moved from app/frontend/app/utils/app_state.js); preferences.js churn 51% (frontend); preferences.hbs churn 62% (frontend)),none,app/frontend/tests/unit/utils/raw-events-test.js,human: eye-gaze hardware or webcam,none (read-only),3,yes: user data,,ASSUMED: the row text itself marks part of the claim as inferred or not verified,,,
SPK-11,"Speak mode, access & device","Head tracking (iOS Face ID native or webcam), head pointer, tilt sensitivity, facial-expression selection",communicator; supervisor-SLP,"Preferences > Dwell Type 'Head Tracking' app/frontend/app/templates/user/preferences.hbs:1697,1753-1783; list controllers/user/preferences.js:534-551, expressions :591-610",none (client-only); capabilities.head_tracking app/frontend/app/utils/capabilities.js:630; listen at services/app-state.js:2105-2111,upstream sweet-suite (vs sweet-suite mirror 55aaa8a: capabilities.js churn 23% (frontend); preferences.js churn 51% (frontend); app-state.js churn 103% (frontend) (moved from app/frontend/app/utils/app_state.js); raw_events.js churn 49% (frontend)),"ios_head_tracking, vertical_ios_head_tracking (code: ENABLED_FRONTEND_FEATURES lib/feature_flags.rb:123-124); read controllers/user/preferences.js:534,541 (only relabels eye gaze as Eye-Gaze-Plus-Head and adds External Gaze Hardware; the 'Head Tracking' option itself is added whenever head_tracking_capable, :551)",NONE,human: Face ID iPhone/iPad or webcam,none (read-only),3,yes: user data,,ASSUMED: the row text itself marks part of the claim as inferred or not verified,,,
SPK-12,"Speak mode, access & device",Inflections overlay on long-press (grammatical forms 3x3 grid),communicator; supervisor-SLP,Preferences 'Long-Press' checkbox app/frontend/app/templates/user/preferences.hbs:520-530; long-press a button in speak mode,"none (client-only); edit_manager.long_press_mode app/frontend/app/utils/edit_manager.js:120-138; raw_events.js:1136; inflection editor in button settings components/button-settings.hbs:1556,1680",heavily modified (vs sweet-suite mirror 55aaa8a: edit_manager.js churn 59% (frontend); raw_events.js churn 49% (frontend); preferences.hbs churn 62% (frontend); button-settings.hbs churn 4041% (frontend) (moved from app/frontend/app/templates/button-settings.hbs); INFLECTIONS_LONG_PRESS_OVERLAY.md absent),"inflections_overlay (code: ENABLED_FRONTEND_FEATURES lib/feature_flags.rb:122); the pref toggle is NO LONGER flag-gated (preferences.hbs:520 comment), flag still gates button-settings.hbs:1556,1680",NONE,human: long-press gesture,writes,3,no,TODO or FIXME in code,"AGENT-REPORTED: static read by an inventory agent; citations bounds-checked, content not re-read by the author",,,
SPK-13,"Speak mode, access & device",Automatic inflections (auto-adjust button word forms to sentence context),communicator; supervisor-SLP,Preferences 'Automatic Inflections' app/frontend/app/templates/user/preferences.hbs:507-518,none (client-only); app/frontend/app/services/app-state.js:3406-3420; app/frontend/app/models/board.js:683,upstream sweet-suite (vs sweet-suite mirror 55aaa8a: app-state.js churn 103% (frontend) (moved from app/frontend/app/utils/app_state.js); board.js churn 71% (frontend); preferences.hbs churn 62% (frontend)),auto_inflections (code: ENABLED_FRONTEND_FEATURES lib/feature_flags.rb:124); read templates/user/preferences.hbs:507,NONE,human: linguistic judgment of displayed forms,none (read-only),3,no,,"AGENT-REPORTED: static read by an inventory agent; citations bounds-checked, content not re-read by the author",,,
SPK-14,"Speak mode, access & device",Native on-screen keyboard and external keyboard input,communicator; supervisor-SLP,Preferences 'External Keyboard' / 'prefer native keyboard' app/frontend/app/templates/user/preferences.hbs:995-1014; triggered by :native-keyboard button or /keyboard board services/app-state.js:4505-4514,none (client-only); scanner.native_keyboard app/frontend/app/utils/scanner.js:1064,upstream sweet-suite (vs sweet-suite mirror 55aaa8a: scanner.js churn 58% (frontend); app-state.js churn 103% (frontend) (moved from app/frontend/app/utils/app_state.js); preferences.hbs churn 62% (frontend)),native_keyboard (code: ENABLED_FRONTEND_FEATURES lib/feature_flags.rb:121); read templates/user/preferences.hbs:1005; only when capabilities.installed_app on iOS/Android and not scanning (services/app-state.js:4510),NONE,human: installed native app on phone/tablet,external-send,3,no,needs device or native app,"AGENT-REPORTED: static read by an inventory agent; citations bounds-checked, content not re-read by the author",,,
SPK-15,"Speak mode, access & device",Swipe pages (long swipe toggles between home and sidebar boards),communicator; supervisor-SLP,"Preferences 'Swipe Pages' app/frontend/app/templates/user/preferences.hbs:497-504; also templates/user/preferences.hbs:497-502, services/app-state.js:2843, utils/raw_events.js:1367","none (client-only); buttonTracker.swipe_pages set services/app-state.js:2843, handled utils/raw_events.js:1367-1380; also app/models/user.rb:2450",upstream sweet-suite (vs sweet-suite mirror 55aaa8a: raw_events.js churn 49% (frontend); app-state.js churn 103% (frontend) (moved from app/frontend/app/utils/app_state.js); preferences.hbs churn 62% (frontend)),"swipe_pages (code: ENABLED_FRONTEND_FEATURES lib/feature_flags.rb:122); the flag is NOT read in the frontend, the pref toggle is always shown",NONE,human: swipe gesture on touch device,writes,3,no,flag never read,"AGENT-REPORTED: static read by an inventory agent; citations bounds-checked, content not re-read by the author",,,
SPK-16,"Speak mode, access & device","Board navigation in speak mode (folder jump, back, home, board lock 'Stay on this Board', home lock, speak level)",communicator; supervisor-SLP,board-detail options menu sticky board app/frontend/app/templates/user/board-detail.hbs:1291-1299 -> controllers/user/board-detail.js:7611; go_home :7800; legacy header templates/application.hbs:1259-1265; speak level components/speak-menu.js:985,"none (client-only); app_state.jump_to_board services/app-state.js:1094, toggle_home_lock :1185",heavily modified (vs sweet-suite mirror 55aaa8a: app-state.js churn 103% (frontend) (moved from app/frontend/app/utils/app_state.js); speak-menu.js churn 412% (frontend) (moved from app/frontend/app/controllers/speak-menu.js); board-detail.js absent; board-detail.hbs absent),none,app/frontend/tests/acceptance/board-lock-test.js; app/frontend/tests/unit/controllers/user-board-detail-url-link-test.js,human: navigating real board sets,writes,3,no,,"AGENT-REPORTED: static read by an inventory agent; citations bounds-checked, content not re-read by the author",,,
SPK-17,"Speak mode, access & device",Show/hide hidden buttons in speak mode (enable all buttons) and prevent_hide_buttons,communicator; supervisor-SLP,board-detail options menu app/frontend/app/templates/user/board-detail.hbs:1117-1133 -> toggle_all_buttons controllers/user/board-detail.js:7553; pref templates/user/preferences.hbs:354-363; legacy templates/application.hbs:1201,none (client-only); stashes all_buttons_enabled,heavily modified (vs sweet-suite mirror 55aaa8a: preferences.hbs churn 62% (frontend); board-detail.js absent; board-detail.hbs absent),"enable_all_buttons (code: ENABLED_FRONTEND_FEATURES lib/feature_flags.rb:120); read templates/user/board-detail.hbs:1117, preferences.hbs:354, application.hbs:1201",NONE,human: visual check of hidden buttons,writes,3,no,,"AGENT-REPORTED: static read by an inventory agent; citations bounds-checked, content not re-read by the author",,,
SPK-18,"Speak mode, access & device","Focus words: highlight chosen words on boards, browse/search word lists, analysis report page (/:user/focus)",communicator; supervisor-SLP,"board-detail options 'Focus Words' app/frontend/app/templates/user/board-detail.hbs:1098-1113 -> toggle_focus controllers/user/board-detail.js:7570; report action components/focus-words.js:760-772 transitions to user.focus (routes/user/focus.js:14 reads app_state.focus_route); also app/frontend/app/components/focus-words.js:675, app/frontend/app/controllers/modals/focus-words.js:349","search#focuses app/controllers/api/search_controller.rb:109; integrations#focus_usage app/controllers/api/integrations_controller.rb:89; also app/controllers/api/integrations_controller.rb:89-92, app/models/user_integration.rb:273-293",heavily modified (vs sweet-suite mirror 55aaa8a: search_controller.rb churn 91%; integrations_controller.rb churn 190%; user_integration.rb churn 5%; focus-words.js churn 206% (frontend) (moved from app/frontend/app/controllers/modals/focus-words.js); focus-words.js churn 17% (frontend); focus.js churn 33% (frontend); focus.js churn 104% (frontend); focus.hbs churn 63% (frontend); 1/1 routes are upstream actions),"focus_word_highlighting (code: ENABLED_FRONTEND_FEATURES lib/feature_flags.rb:124); read templates/user/board-detail.hbs:1099, templates/application.hbs:1221, components/focus-words.js:205",app/frontend/tests/components/focus-words-article50-test.js; spec/controllers/api/integrations_controller_spec.rb,both: visual highlighting on board / enqueued job and outbound call can be stubbed,external-send,3,yes: AI processing,,"AGENT-REPORTED: static read by an inventory agent; citations bounds-checked, content not re-read by the author",,POST /api/v1/focus/usage api/integrations#focus_usage,user.focus:/focus
SPK-19,"Speak mode, access & device",Skin tone preference applied to symbol images,communicator; supervisor-SLP,Preferences 'Preferred Skin Tone' app/frontend/app/templates/user/preferences.hbs:149-151; per-board override board-detail edit panel templates/user/board-detail.hbs:3272-3289,none (client-only render) app/frontend/app/models/board.js:701 variant_image_urls; pref 'skin' whitelisted app/models/user.rb:2437-2466 (PREFERENCE_PARAMS),upstream sweet-suite (vs sweet-suite mirror 55aaa8a: board.js churn 71% (frontend); preferences.hbs churn 62% (frontend); preferences.js churn 51% (frontend)),skin_tones (code: ENABLED_FRONTEND_FEATURES lib/feature_flags.rb:125); read templates/user/preferences.hbs:149,NONE,human: visual check of symbol variants,none (read-only),2,no,commented-out code,"AGENT-REPORTED: static read by an inventory agent; citations bounds-checked, content not re-read by the author",,,
SPK-20,"Speak mode, access & device","Custom sidebar: add/remove/reorder/hide sidebar boards and actions, quick actions, sidebar edit PIN, device home",communicator; supervisor-SLP,Preferences > Sidebar and Shortcuts app/frontend/app/templates/user/preferences.hbs:1173-1215; board-detail inline 'Edit Sidebar' app/frontend/app/templates/user/board-detail.hbs:2230-2232 -> controllers/user/board-detail.js:8577; 'Add to Sidebar' controllers/application.js:1028,users#update app/controllers/api/users_controller.rb:197 (sidebar_boards in PREFERENCE_PARAMS app/models/user.rb:2427-2436),heavily modified (vs sweet-suite mirror 55aaa8a: add-to-sidebar.js churn 168% (frontend) (moved from app/frontend/app/controllers/add-to-sidebar.js); sidebar-button-settings.js churn 158% (frontend) (moved from app/frontend/app/controllers/sidebar-button-settings.js); preferences.js churn 51% (frontend); app-state.js churn 103% (frontend) (moved from app/frontend/app/utils/app_state.js); sidebar-editor.js absent; pin-settings.js absent),"edit_sidebar (code: ENABLED_FRONTEND_FEATURES, TEMPORARY lib/feature_flags.rb:134) read board-detail.hbs:2230, preferences.hbs:60; custom_sidebar (code: ENABLED lib/feature_flags.rb:117) is NOT read anywhere in app/",NONE,human: drag/reorder UI,destructive,3,no,flag never read; TEMPORARY forced-on flag,"AGENT-REPORTED: static read by an inventory agent; citations bounds-checked, content not re-read by the author",,,
SPK-21,"Speak mode, access & device",Geo sidebar: highlight sidebar boards by location/time (geo-fenced),communicator; supervisor-SLP,sidebar button settings 'Highlight this board at certain locations/times' app/frontend/app/components/sidebar-button-settings.hbs:57-70 (opened from controllers/user/preferences.js:1326); also app/frontend/app/utils/geo.js:45,"users#places app/controllers/api/users_controller.rb:54-58 -> Geolocation.find_places lib/geolocation.rb:2-9 (Google Places nearbysearch); client app/frontend/app/utils/geo.js:45; also app/controllers/api/users_controller.rb:54, api/users_controller.rb:54-59, lib/geolocation.rb:2-34",heavily modified (vs sweet-suite mirror 55aaa8a: users_controller.rb churn 76%; geolocation.rb churn 0%; sidebar-button-settings.hbs churn 77% (frontend) (moved from app/frontend/app/templates/sidebar-button-settings.hbs); geo.js churn 23% (frontend); app-state.js churn 103% (frontend) (moved from app/frontend/app/utils/app_state.js); 1/1 routes are upstream actions),geo_sidebar (code: ENABLED_FRONTEND_FEATURES lib/feature_flags.rb:118); read components/sidebar-button-settings.hbs:57,spec/lib/geolocation_spec.rb; spec/controllers/api/users_controller_spec.rb,human: physical location changes on device,external-send,3,yes: location,,ASSUMED: the row text itself marks part of the claim as inferred or not verified,,GET /api/v1/users/:user_id/places api/users#places,
